,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
84,Greg Dreiling,C,24.0,IND,24.0,0.0,128.0,6.1,14.0,0.432,0.0,0.0,0.0,6.1,14.0,0.432,3.8,4.6,0.833,4.6,11.8,16.3,2.7,0.8,0.8,2.7,15.9,15.9,0.0,103.0,104.0
85,Larry Drew,PG,28.0,LAC,60.0,22.0,1566.0,8.8,20.4,0.432,0.4,2.1,0.167,8.4,18.2,0.463,4.2,5.0,0.837,0.8,2.3,3.1,9.7,1.8,0.1,4.5,3.2,22.1,0.0,99.0,115.0
86,Clyde Drexler*,SG,24.0,POR,82.0,82.0,3114.0,10.4,20.7,0.502,0.2,0.7,0.234,10.2,20.0,0.511,5.2,6.9,0.76,3.3,4.3,7.6,8.3,3.0,1.0,3.7,4.1,26.2,0.0,114.0,107.0
87,Kevin Duckworth,C,22.0,TOT,65.0,1.0,875.0,6.8,14.3,0.476,0.0,0.1,0.0,6.8,14.3,0.478,4.8,7.0,0.687,4.0,7.7,11.7,1.5,1.1,1.1,4.1,10.1,18.5,0.0,99.0,108.0
88,Kevin Duckworth,C,22.0,SAS,14.0,1.0,122.0,7.0,17.4,0.4,0.0,0.0,0.0,7.0,17.4,0.4,3.5,5.4,0.643,5.0,7.0,12.0,2.3,1.9,1.2,1.5,10.4,17.4,0.0,103.0,109.0
89,Kevin Duckworth,C,22.0,POR,51.0,0.0,753.0,6.8,13.8,0.491,0.0,0.1,0.0,6.8,13.8,0.493,5.0,7.3,0.692,3.8,7.8,11.7,1.4,1.0,1.1,4.5,10.0,18.6,0.0,98.0,108.0
90,Joe Dumars*,SG,23.0,DET,79.0,75.0,2439.0,7.2,14.6,0.493,0.2,0.4,0.409,7.0,14.2,0.495,3.6,4.8,0.748,1.0,2.3,3.3,6.9,1.6,0.1,3.3,3.8,18.1,0.0,107.0,109.0
91,T.R. Dunn,SG,31.0,DEN,81.0,53.0,1932.0,2.8,6.5,0.428,0.0,0.0,0.0,2.8,6.4,0.431,0.8,1.3,0.655,2.1,4.1,6.2,3.4,2.3,0.5,0.8,3.7,6.4,0.0,110.0,110.0
92,Mark Eaton,C,30.0,UTA,79.0,79.0,2505.0,4.3,10.9,0.4,0.0,0.0,0.0,4.3,10.9,0.4,2.6,4.0,0.657,3.9,9.0,12.9,1.9,0.8,6.0,2.6,5.1,11.3,0.0,92.0,100.0
93,Jerry Eaves,PG,27.0,SAC,3.0,0.0,26.0,1.8,14.6,0.125,0.0,0.0,0.0,1.8,14.6,0.125,3.6,3.6,1.0,1.8,0.0,1.8,0.0,1.8,0.0,3.6,10.9,7.3,0.0,51.0,115.0
94,Franklin Edwards,PG,27.0,SAC,8.0,0.0,122.0,3.5,12.4,0.281,0.0,1.6,0.0,3.5,10.9,0.321,3.9,5.4,0.714,0.8,3.1,3.9,11.3,1.9,0.0,6.6,2.7,10.9,0.0,76.0,113.0
95,James Edwards,C,31.0,PHO,14.0,9.0,304.0,8.8,17.0,0.518,0.0,0.0,0.0,8.8,17.0,0.518,8.4,10.8,0.771,3.1,6.2,9.3,2.9,0.9,1.1,2.3,6.5,26.0,0.0,121.0,111.0
96,Craig Ehlo,SG,25.0,CLE,44.0,15.0,890.0,5.3,12.7,0.414,0.3,1.5,0.172,5.0,11.2,0.448,3.7,5.3,0.707,2.9,5.6,8.6,4.9,2.1,1.6,3.2,4.3,14.5,0.0,100.0,105.0
98,Dale Ellis,SG,26.0,SEA,82.0,76.0,3073.0,12.0,23.3,0.516,1.3,3.7,0.358,10.7,19.6,0.546,5.9,7.5,0.787,2.9,4.0,6.9,3.7,1.6,0.5,3.7,4.1,31.3,0.0,117.0,112.0
99,Chris Engler,C,27.0,TOT,30.0,0.0,195.0,5.6,12.3,0.451,0.0,0.0,0.0,5.6,12.3,0.451,2.9,3.9,0.75,5.6,8.2,13.8,1.9,1.2,2.7,2.9,8.0,14.0,0.0,103.0,107.0
100,Chris Engler,C,27.0,POR,7.0,0.0,17.0,10.8,21.5,0.5,0.0,0.0,0.0,10.8,21.5,0.5,8.1,8.1,1.0,16.1,5.4,21.5,2.7,2.7,2.7,5.4,0.0,29.6,0.0,121.0,106.0
101,Chris Engler,C,27.0,MIL,5.0,0.0,48.0,3.0,12.0,0.25,0.0,0.0,0.0,3.0,12.0,0.25,1.0,1.0,1.0,3.0,13.0,15.9,3.0,1.0,1.0,0.0,10.0,7.0,0.0,89.0,102.0
102,Chris Engler,C,27.0,NJN,18.0,0.0,130.0,5.8,11.2,0.516,0.0,0.0,0.0,5.8,11.2,0.516,2.9,4.4,0.667,5.1,6.9,12.0,1.5,1.1,3.3,3.6,8.3,14.5,0.0,101.0,108.0
103,Alex English*,SF,33.0,DEN,82.0,82.0,3085.0,14.1,28.1,0.503,0.1,0.2,0.267,14.1,27.9,0.504,6.0,7.1,0.844,2.1,2.9,5.0,6.2,1.1,0.3,3.1,3.2,34.4,0.0,113.0,114.0
104,Julius Erving*,SF,36.0,PHI,60.0,60.0,1918.0,10.3,21.9,0.471,0.4,1.4,0.264,9.9,20.5,0.484,4.9,6.0,0.813,3.0,3.8,6.8,4.9,2.0,2.4,4.1,3.5,25.8,0.0,106.0,109.0
105,Mike Evans,SG,31.0,DEN,81.0,4.0,1567.0,9.6,21.0,0.458,1.5,4.9,0.314,8.1,16.2,0.502,2.8,3.5,0.78,1.0,2.7,3.7,5.3,2.3,0.3,3.1,4.3,23.6,0.0,104.0,112.0
