,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
93,Jimmy Butler,SF,30.0,MIA,46.0,46.0,1582.0,284.0,622.0,0.457,28.0,113.0,0.248,256.0,509.0,0.503,0.479,353.0,422.0,0.836,85.0,230.0,315.0,281.0,82.0,25.0,105.0,65.0,949.0
94,Bruno Caboclo,SF,24.0,MEM,22.0,0.0,192.0,28.0,69.0,0.406,4.0,25.0,0.16,24.0,44.0,0.545,0.435,2.0,3.0,0.667,17.0,27.0,44.0,10.0,10.0,12.0,7.0,23.0,62.0
96,Kentavious Caldwell-Pope,SG,26.0,LAL,53.0,20.0,1343.0,180.0,383.0,0.47,76.0,183.0,0.415,104.0,200.0,0.52,0.569,68.0,83.0,0.819,34.0,77.0,111.0,92.0,42.0,11.0,45.0,94.0,504.0
97,Vlatko Cancar,SF,22.0,DEN,11.0,0.0,38.0,5.0,11.0,0.455,1.0,5.0,0.2,4.0,6.0,0.667,0.5,4.0,4.0,1.0,3.0,5.0,8.0,3.0,1.0,1.0,3.0,6.0,15.0
98,Clint Capela,C,25.0,HOU,39.0,39.0,1279.0,244.0,388.0,0.629,0.0,0.0,0.0,244.0,388.0,0.629,0.629,55.0,104.0,0.529,168.0,369.0,537.0,48.0,33.0,72.0,63.0,102.0,543.0
99,DeMarre Carroll,SF,33.0,SAS,15.0,0.0,135.0,9.0,29.0,0.31,3.0,13.0,0.231,6.0,16.0,0.375,0.362,12.0,20.0,0.6,7.0,24.0,31.0,11.0,2.0,2.0,10.0,20.0,33.0
100,Jevon Carter,PG,24.0,PHO,40.0,2.0,578.0,62.0,152.0,0.408,35.0,83.0,0.422,27.0,69.0,0.391,0.523,13.0,16.0,0.813,21.0,55.0,76.0,55.0,30.0,11.0,28.0,56.0,172.0
101,Vince Carter,SF,43.0,ATL,49.0,0.0,749.0,92.0,260.0,0.354,51.0,174.0,0.293,41.0,86.0,0.477,0.452,23.0,29.0,0.793,14.0,93.0,107.0,44.0,19.0,24.0,30.0,78.0,258.0
102,Wendell Carter,C,20.0,CHI,37.0,37.0,1109.0,166.0,309.0,0.537,6.0,28.0,0.214,160.0,281.0,0.569,0.547,95.0,129.0,0.736,130.0,236.0,366.0,44.0,30.0,33.0,62.0,142.0,433.0
103,Michael Carter-Williams,SG,28.0,ORL,32.0,0.0,566.0,73.0,177.0,0.412,12.0,46.0,0.261,61.0,131.0,0.466,0.446,48.0,62.0,0.774,30.0,71.0,101.0,87.0,35.0,16.0,34.0,54.0,206.0
104,Alex Caruso,PG,25.0,LAL,50.0,0.0,908.0,94.0,224.0,0.42,34.0,94.0,0.362,60.0,130.0,0.462,0.496,51.0,65.0,0.785,11.0,83.0,94.0,87.0,52.0,14.0,41.0,79.0,273.0
105,Willie Cauley-Stein,C,26.0,TOT,50.0,39.0,1051.0,167.0,291.0,0.574,0.0,1.0,0.0,167.0,290.0,0.576,0.574,39.0,63.0,0.619,80.0,216.0,296.0,67.0,49.0,58.0,39.0,118.0,373.0
106,Willie Cauley-Stein,C,26.0,GSW,41.0,37.0,940.0,144.0,257.0,0.56,0.0,0.0,0.0,144.0,257.0,0.56,0.56,35.0,57.0,0.614,71.0,184.0,255.0,60.0,45.0,50.0,35.0,102.0,323.0
107,Willie Cauley-Stein,C,26.0,DAL,9.0,2.0,111.0,23.0,34.0,0.676,0.0,1.0,0.0,23.0,33.0,0.697,0.676,4.0,6.0,0.667,9.0,32.0,41.0,7.0,4.0,8.0,4.0,16.0,50.0
108,Tyson Chandler,C,37.0,HOU,26.0,5.0,219.0,14.0,18.0,0.778,0.0,0.0,0.0,14.0,18.0,0.778,0.778,6.0,13.0,0.462,25.0,41.0,66.0,6.0,6.0,8.0,8.0,32.0,34.0
109,Wilson Chandler,SF,32.0,BRK,25.0,0.0,517.0,57.0,133.0,0.429,25.0,83.0,0.301,32.0,50.0,0.64,0.523,17.0,19.0,0.895,8.0,101.0,109.0,31.0,15.0,8.0,27.0,54.0,156.0
